https://pspdev.github.io/pspsdk/pspnet__adhoc_8h.html

sceWlanGetSwitchState  - Проверяет положение физического переключателя Wi-Fi на PSP (включён/выключен).

sceNetInit  - Инициализирует подсистему сети в программе (нужно вызвать перед использованием других сетевых функций).

sceNetTerm  - Завершает работу сетевой подсистемы и освобождает ресурсы (вызвать перед выходом).

sceNetGetLocalEtherAddr  - Возвращает MAC-адрес локального сетевого интерфейса (обычно нужен для идентификации устройства в P2P/adhoc).

sceNetEtherNtostr  - Преобразует MAC-адрес (6 байт) в строку читаемого формата (например "00:11:22:33:44:55").

sceNetAdhocInit  - Включает/готовит библиотеку adhoc (локальная беспроводная связь между PSP'ями) — базовый шаг для P2P.

sceNetAdhocTerm  - Выключает/завершает библиотеку adhoc и освобождает связанные ресурсы.

sceNetAdhocPdpCreate  - Создаёт PDP (Peer Data Port) — объект для отправки/приёма UDP-подобных сообщений между пирами.

sceNetAdhocPdpDelete  - Удаляет ранее созданный PDP.

sceNetAdhocPdpSend  - Отправляет данные через PDP (посылает пакет другим пирами).

sceNetAdhocPdpRecv  - Принимает данные, пришедшие на PDP (чтение входящих пакетов).

sceNetAdhocPtpOpen  - Открывает PTP (Peer To Peer) соединение; используется для установления более «сессийного» соединения между двумя PSP.

sceNetAdhocPtpClose  - Закрывает открытое PTP-соединение.

sceNetAdhocPtpSend  - Отправляет данные по открытому PTP-соединению (как TCP-подобный обмен между двумя пирами).

sceNetAdhocPtpRecv  - Читает данные, пришедшие по PTP-соединению.

sceNetAdhocPtpFlush  - Очищает/сбрасывает буферы PTP (удаляет ожидающие данные).

sceNetAdhocPtpAccept  - Принять входящее PTP-соединение (аналог accept в обычных сокетах).

sceNetAdhocPtpListen  - Перевести PTP в режим прослушивания входящих соединений (аналог listen).

sceNetAdhocPtpConnect  - Установить PTP-соединение к удалённому пиру (аналог connect).

sceNetAdhocCreate / sceNetAdhocDelete / sceNetAdhocStart / sceNetAdhocStop / sceNetAdhocCancelTarget
  - (Общие операции создания/удаления/запуска/остановки механизма поиска/матчинга/целевой сессии). Эти функции создают объект «матчинга» или сессию, запускают поиск других игроков, останавливают его или удаляют объект.

sceNetAdhocMatchingInit  - Инициализирует подсистему «Adhoc Matching» — высокоуровневую систему поиска/соединения игроков (подготавливает память и внутренние структуры).

sceNetAdhocMatchingTerm  - Завершает работу подсистемы матчинга.

sceNetAdhocMatchingCreate  - Создаёт объект матчинга (настраивает параметры: режим, порт, размер буфера и т.д.) — возвращает идентификатор для дальнейших операций.

sceNetAdhocMatchingStart  - Запускает процесс поиска/матчинга с заданными параметрами и данными пользователя (начинает рассылать «я здесь» и слушать ответы).

sceNetAdhocMatchingStop  - Останавливает запущенный процесс матчинга.

sceNetAdhocMatchingSetHelloOpt  - Устанавливает опции «hello»-сообщений (частота/содержимое) — влияет на то, как устройство объявляет о себе.

sceNetAdhocMatchingSelectTarget  - Выбирает конкретную цель/пира из результатов матчинга (чтобы установить с ним соединение).

sceNetAdhocMatchingCreate / sceNetAdhocMatchingDelete / sceNetAdhocMatchingCancelTarget
  - (повтор) — create/delete/cancel управляют жизненным циклом объекта матчинга и выбранными целями.

sceNetAdhocMatchingGetMembers / related (информационные функции)  - Возвращают список найденных пиров, их MAC/имена и т.д. (полезно для вывода списка игроков).

sceNetAdhocctlInit  - Инициализирует «Adhoc control» — служебную библиотеку, которая облегчает сканирование сетей, подключение к пир-сетям и управление состоянием adhoc.

sceNetAdhocctlTerm  - Завершает работу adhocctl и освобождает ресурсы.

sceNetAdhocctlScan  - Запускает сканирование доступных adhoc-сетей (ищет другие PSP в радиусе).

sceNetAdhocctlGetScanInfo  - Возвращает результаты последнего сканирования — список обнаруженных точек/пиров и их параметры.

sceNetAdhocctlConnect  - Подключиться к найденной adhoc-сети/пиру (инициирует соединение).

sceNetAdhocctlDisconnect  - Отключиться от текущей adhoc-сети/пира.

sceNetAdhocctlJoin  - Войти в «комнату»/сессию (часто используется в играх для присоединения к игровой сессии).

sceNetAdhocctlGetNameByAddr  - По MAC-адресу возвращает имя пира (удобно для отображения списка игроков).

sceNetAdhocctlAddHandler  - Добавляет обработчик/колбэк для событий adhocctl (например — приход пакета, изменение статуса) — позволяет вашей программе получать уведомления.

sceNetAdhocctlCreate  - Создаёт объект/структуру управления в adhocctl (зависит от реализации — подготовка для работы).

sceNetAdhocTerm (повтор для общего adhoc)  - Завершает работу базовой adhoc-подсистемы (см. выше).

sceNetTerm / sceNetInit (повтор)  - Обобщённые: sceNetInit — старт сети, sceNetTerm — стоп; важны перед/после любых сетевых действий.

sceNetGetLocalEtherAddr (повтор)  - Возвращает локальный MAC — часто требуется до/при установке P2P соединений.

sceNetEtherNtostr (повтор)  - Превращает MAC в строку, чтобы показать человеку (например в списке игроков).
